PassedAndObstructedTimes,OverallYieldTimes
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
10,1
10,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
25,1
26,1
26,1
27,0.962963
28,0.9642857
29,0.9655172
30,0.9666666
31,0.9677419
32,0.96875
33,0.969697
34,0.9705882
35,0.9714286
36,0.9722222
37,0.972973
38,0.9736842
39,0.974359
40,0.975
41,0.9756098
42,0.9761904
43,0.9767442
44,0.9772727
45,0.9777778
46,0.9782609
47,0.9787234
48,0.9791667
49,0.9795918
50,0.98
51,0.9803922
52,0.9807692
53,0.9811321
54,0.9814815
55,0.9818182
56,0.9821429
57,0.9824561
58,0.9827586
59,0.9830508
60,0.9833333
61,0.9836066
62,0.9677419
62,0.9677419
63,0.968254
64,0.96875
65,0.9692308
66,0.969697
67,0.9701493
68,0.9705882
69,0.9710145
70,0.9714286
71,0.971831
72,0.9722222
73,0.9726027
74,0.972973
75,0.9733334
76,0.9736842
77,0.974026
78,0.974359
79,0.9746835
80,0.975
81,0.9753087
82,0.9756098
83,0.9759036
84,0.9761904
85,0.9764706
86,0.9767442
87,0.9770115
88,0.9772727
89,0.9775281
90,0.9777778
90,0.9777778
91,0.978022
92,0.9782609
92,0.9782609
