PassedAndObstructedTimes,OverallYieldTimes
53,1
54,1
55,1
56,1
57,1
57,1
58,1
59,1
60,1
61,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,0.987013
78,0.9871795
78,0.9871795
79,0.9873418
79,0.9873418
80,0.9875
81,0.9876543
82,0.9878049
83,0.9879518
84,0.9880952
84,0.9880952
85,0.9764706
1,1
2,1
3,1
4,1
5,1
6,1
6,1
7,1
8,1
9,1
1,1
2,1
3,1
4,1
5,1
6,1
6,1
7,1
8,1
9,1
10,0.9
11,0.8181818
12,0.8333333
13,0.8461539
14,0.8571429
15,0.8666667
16,0.875
17,0.8823529
18,0.8888889
19,0.8947368
20,0.9
21,0.9047619
22,0.9090909
23,0.9130435
24,0.875
25,0.88
26,0.8846154
27,0.8888889
28,0.8928571
29,0.8965517
30,0.9
31,0.9032258
32,0.90625
33,0.9090909
34,0.9117647
35,0.9142857
36,0.9166667
37,0.9189189
38,0.9210526
39,0.9230769
40,0.925
41,0.9268293
42,0.9285714
43,0.9302326
44,0.9318182
45,0.9333333
46,0.9347826
47,0.9361702
48,0.9375
49,0.9387755
50,0.94
51,0.9411765
51,0.9411765
52,0.9423077
53,0.9433962
54,0.9444444
55,0.9454545
56,0.9464286
57,0.9473684
58,0.9482759
59,0.9491525
60,0.95
61,0.9508197
62,0.9516129
63,0.952381
64,0.953125
65,0.9538462
66,0.9545454
67,0.9552239
68,0.9558824
68,0.9558824
69,0.9565217
70,0.9571428
71,0.9577465
72,0.9583333
73,0.9589041
74,0.9594595
75,0.96
75,0.96
76,0.9605263
77,0.9610389
78,0.9615384
78,0.9615384
78,0.9615384
79,0.9620253
79,0.9620253
80,0.9625
80,0.9625
81,0.962963
82,0.9634146
83,0.9518072
84,0.952381
85,0.9529412
85,0.9529412
86,0.9534883
87,0.954023
88,0.9545454
89,0.9550562
90,0.9555556
91,0.956044
1,1
2,1
3,1
4,1
5,1
6,1
7,0.8571429
8,0.875
9,0.8888889
10,0.8
11,0.8181818
12,0.8333333
13,0.8461539
14,0.8571429
15,0.8666667
16,0.875
17,0.8823529
18,0.8888889
19,0.8947368
20,0.9
21,0.9047619
22,0.9090909
23,0.9130435
24,0.9166667
25,0.92
26,0.9230769
27,0.9259259
28,0.8928571
29,0.8965517
30,0.9
31,0.9032258
32,0.90625
33,0.9090909
34,0.9117647
35,0.9142857
36,0.9166667
37,0.9189189
38,0.8947368
39,0.8974359
40,0.9
41,0.902439
42,0.9047619
43,0.8837209
44,0.8863636
45,0.8888889
46,0.8913044
47,0.8723404
48,0.875
49,0.877551
50,0.88
51,0.8823529
52,0.8846154
53,0.8867925
54,0.8888889
55,0.8909091
56,0.8928571
57,0.8947368
58,0.8965517
59,0.8983051
60,0.9
61,0.9016393
62,0.9032258
63,0.9047619
64,0.90625
65,0.9076923
65,0.9076923
66,0.9090909
67,0.9104478
68,0.9117647
69,0.9130435
70,0.9142857
71,0.915493
72,0.9166667
73,0.9178082
74,0.9189189
75,0.92
76,0.9210526
77,0.9220779
78,0.9230769
79,0.9240506
80,0.925
81,0.9259259
81,0.9259259
82,0.9268293
83,0.9277108
84,0.9285714
85,0.9294118
86,0.9302326
86,0.9302326
87,0.9310345
88,0.9318182
89,0.9325843
90,0.9333333
90,0.9333333
90,0.9333333
91,0.9340659
92,0.9347826
93,0.9354839
94,0.9361702
95,0.9368421
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
16,1
17,0.9411765
17,0.9411765
18,0.8888889
19,0.8947368
20,0.9
21,0.9047619
21,0.9047619
22,0.9090909
23,0.9130435
24,0.9166667
25,0.92
26,0.9230769
27,0.9259259
28,0.9285714
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
