PassedAndObstructedTimes,OverallYieldTimes
1,1
2,0.5
3,0.3333333
4,0.25
5,0.2
6,0.1666667
7,0.1428571
8,0.125
9,0.1111111
10,0.1
11,0.09090909
12,0.08333334
13,0.07692308
14,0.07142857
15,0.06666667
16,0.0625
17,0.1176471
18,0.1666667
19,0.1578947
20,0.15
21,0.1428571
22,0.1363636
23,0.173913
24,0.1666667
25,0.2
26,0.2307692
27,0.2222222
28,0.2142857
29,0.2413793
30,0.2333333
